measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,160,Afghanistan,1,Male,162,10-19 years,567,Depressive disorders,1,Number,2021,125378.6332,178514.8526,82303.78252
5,Prevalence,160,Afghanistan,2,Female,162,10-19 years,567,Depressive disorders,1,Number,2021,178234.7084,251494.0893,116294.8269
5,Prevalence,160,Afghanistan,3,Both,162,10-19 years,567,Depressive disorders,1,Number,2021,303613.3417,426554.1946,199726.3637
5,Prevalence,6,China,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.00056649,0.000833531,0.000364995
5,Prevalence,135,Brazil,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000687208,0.001019523,0.000426915
5,Prevalence,8,Taiwan (Province of China),1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000687936,0.001092176,0.000414844
5,Prevalence,160,Afghanistan,1,Male,6,5-9 years,567,Depressive disorders,1,Number,2021,6168.949414,10408.58394,3230.612515
5,Prevalence,160,Afghanistan,2,Female,6,5-9 years,567,Depressive disorders,1,Number,2021,9154.965886,15335.38363,4820.000063
5,Prevalence,160,Afghanistan,3,Both,6,5-9 years,567,Depressive disorders,1,Number,2021,15323.9153,25642.80999,8135.059311
5,Prevalence,7,Democratic People's Republic of Korea,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.00072962,0.001178148,0.00043786
5,Prevalence,6,China,3,Both,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000733966,0.001056699,0.000469832
5,Prevalence,26,Papua New Guinea,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000760205,0.001243952,0.000447602
5,Prevalence,43,Albania,1,Male,162,10-19 years,567,Depressive disorders,1,Number,2021,2244.249555,3070.612771,1567.179529
5,Prevalence,43,Albania,2,Female,162,10-19 years,567,Depressive disorders,1,Number,2021,3867.201868,5588.328329,2587.716532
5,Prevalence,43,Albania,3,Both,162,10-19 years,567,Depressive disorders,1,Number,2021,6111.451423,8656.379379,4159.541894
5,Prevalence,165,Pakistan,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000760564,0.001149683,0.000480724
5,Prevalence,214,Nigeria,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000762139,0.001110745,0.00048087
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000795751,0.001295092,0.000471626
5,Prevalence,43,Albania,1,Male,6,5-9 years,567,Depressive disorders,1,Number,2021,78.55384804,133.2171383,45.248003
5,Prevalence,43,Albania,2,Female,6,5-9 years,567,Depressive disorders,1,Number,2021,94.52480921,162.9124532,52.51737184
5,Prevalence,43,Albania,3,Both,6,5-9 years,567,Depressive disorders,1,Number,2021,173.0786572,293.5451702,98.83410635
5,Prevalence,130,Mexico,1,Male,6,5-9 years,567,Depressive disorders,2,Percent,2021,0.000796455,0.001169647,0.000495453
